ID,Category,Severity,Status,Title,Location,Description,Recommended Fix,Priority Order,
SEC-31,File Upload,Medium,Open,CustomImage uses original filename + move(),Admin/CustomImageController.php:38-44,Unsanitized original name; overwrite risk; bypasses FileUploadHelper.,Use FileUploadHelper::upload with randomized names.,3,
SEC-32,File Upload,Medium,Open,CKEditor upload no type validation,Client/BlogController.php:16-30,Moves to public/media without extension whitelist (arbitrary upload if re-enabled).,Validate mime/extension; use FileUploadHelper; do not re-enable without fix.,3,
SEC-33,File Upload,High,Open,Product enquiry dd() on S3 failure,User/ProductEnquiryController.php:33,dd() dumps exception on public unauthenticated form.,Return JSON error; log exception; never dd() in production.,2,
SEC-34,Routing & CSRF,High,Open,Admin destructive actions as GET routes,routes/admin.php,delete/update_status as GET — CSRF and accidental trigger risk.,Change to POST/DELETE with CSRF tokens.,2,
SEC-35,Routing & CSRF,High,Open,Client SubCategory/ChildCategory wired to Admin controllers,routes/client.php:86-106,Client routes hit Admin controllers/views gated by auth:admin.,Point to Client controllers or remove routes.,2,
SEC-36,Routing & CSRF,Medium,Open,Doubled slash in change-payment-status route,routes/admin.php:200 / client.php:209,/change-payment-status//{id} typo breaks route() links.,Fix path to single slash.,3,
SEC-37,Config,Medium,Open,Plaintext password emailed to new client,Admin/ClientController.php:57,Welcome email sends plaintext password.,Use invite/reset link instead of emailing password.,3,
SEC-38,Config,Medium,Open,PageController mass-assigns unvalidated type,Admin/PageController.php:36,update($request->all()) allows injecting type.,Pass only validated fields.,3,
SEC-39,Config,Low,Open,URL::forceScheme trusts x-forwarded-proto early,AppServiceProvider.php:22-27,Runs before TrustProxies — trusts header from any client.,Configure trusted proxies only; move after TrustProxies.,4,
SEC-40,Config,Low,Open,MAIL_FROM fallback is personal Gmail,config/mail.php:106-107,Developer Gmail used if env unset.,Use generic placeholder.,4,
BUG-01,Admin Fatals,Critical,Open,ProductOption class not imported — fatal + data loss,Admin & Client ProductController,ProductOption::create unresolved; update deletes options then fatals.,Import App\Models\ProductOption; wrap in transaction.,1,
BUG-02,Admin Fatals,Critical,Open,CustomSizeController stubs / wrong view / missing methods,Admin/CustomSizeController.php,edit wrong view; update/destroy stubs; routes call missing methods.,Implement full CRUD matching CustomImage pattern.,2,
BUG-03,Admin Fatals,Critical,Open,CustomColorController missing CRUD methods,Admin/CustomColorController.php,Routes call edit/update/delete/update_status that do not exist.,Implement missing controller methods.,2,
BUG-04,Admin Fatals,Critical,Open,CustomImageController update/destroy stubs,Admin/CustomImageController.php,No DB write/file delete but reports success.,Implement real update/destroy with FileUploadHelper.,2,
BUG-05,Admin Fatals,Critical,Open,WebsiteController assigns UploadedFile to DB,Admin/WebsiteController.php:27-76,File move commented out; UploadedFile mass-assigned — insert crash.,Upload via FileUploadHelper then store path string.,2,
BUG-06,Admin Fatals,High,Open,Blog uploadImage method commented out,Admin/BlogController / routes/admin.php:148,Route points to commented method — editor image upload fatals.,Restore method using FileUploadHelper with validation.,3,
BUG-07,Admin Fatals,Medium,Open,get_child_category method missing,routes/admin.php:118,Route maps to get_child_category but controller has getSubCategory.,Align route name with existing method or add method.,3,
BUG-08,Database / Models,High,Open,Missing website_id/client_id columns on models,Blog Faq Order Transaction Category Brand Subscribe etc.,Fillable/relations declare columns that do not exist in DB — SQL errors.,Add migrations or remove dead fillable/relations.,2,
BUG-09,Database / Models,High,Open,WebsiteTemplate validates wrong table,Admin/WebsiteTemplateController.php:30 52,exists:websitetemplates,id should be websites.,Fix validation rule table name.,3
BUG-10,Database / Models,Medium,Open,Admin/Client password not hashed cast,Admin.php Client.php,Unlike User.php no hashed cast on password.,Add hashed cast for consistency.,3,
BUG-11,Functional,Low,Open,Cart updateQuantity product ID prefix collision,CartController.php:261-345,Str::startsWith productId 1 matches key 12-...,Match exact cart key or delimiter-safe ID.,4,
BUG-12,Functional,Low,Open,blog_search undefined $categories,HomeController.php:546,compact includes undefined $categories.,Define variable or remove from compact.,4,
BUG-13,Functional,Low,Open,transactions_delete removes entire Order,Admin/ManageController.php,Deletes parent Order with Transaction — sibling data loss.,Delete only the Transaction row.,4,
BUG-14,Functional,Medium,Open,ManageSite settings methods null crash,Admin/ManageSiteController.php,first() then save without null check (except home_page).,Use updateOrCreate for all settings keys.,3,
UI-01,Frontend UI,High,Fixed,Home page about image1 not using FileUploadHelper,user/home.blade.php,Raw $home_page_value->image1 path — broken image after S3 migration.,Use FileUploadHelper::url with fallback (fixed in session).,—,
UI-02,Frontend UI,High,Fixed,Broken static asset paths on home,user/home.blade.php,media/icon.svg section.jpg image8.jpg CustomerPhotos.png missing on disk.,Point to existing assets/imgs SVG or CSS gradients (fixed).,—,
UI-03,Frontend UI,High,Fixed,primary_btn / primery_btn text invisible,style.css color.css,z-index:-1 on .btn; hover inverted to white bg with white text.,Renamed to primary_btn; fixed hover keep orange+white text.,—,
UI-04,Frontend UI,Medium,Fixed,Inconsistent button classes across dashboard,user-sidebar wishlists order profile address,Mixed primary_btn btn-primary btn_black.,Standardized on btn primary_btn.,—,
UI-05,Frontend UI,Medium,Fixed,S3/Storage::disk url scattered in views,Many Blade files,Direct S3 URLs broke local/S3 toggle.,Migrated to FileUploadHelper::url across views.,—,
UI-06,File Upload,Medium,Fixed,Upload/delete still used raw S3 in controllers,Multiple Admin/Client/User controllers,Inconsistent storage after S3 migration.,Migrated store/update/delete to FileUploadHelper.,—,
UI-07,Frontend UI,Low,Open,Related pages still reference missing image8.jpg / CustomerPhotos.png,contact thankyou about brand category blog service etc.,Same broken fallbacks as home had before fix.,Apply same asset fallback pattern as home.blade.php.,4,
UI-08,Security / Markup,Medium,Open,user-sidebar Remove Account hardcodes third-party URL,includes/user-sidebar.blade.php,Remove Account links to geniusdevs.com CodeCanyon demo.,Point to real local route or remove modal.,3,done
